,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
8958,881,,155 E 37th Ave,Completed,2014,More Than a Roof Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=881,POINT (-123.10260504 49.23763885),Riley Park,46,Design,Standard 1BR
8960,884,,282 W 49th Ave,Approved,,YWCA Vancouver,,POINT (-123.11234239 49.22533108),Oakridge,24,Design,Standard 1BR
8961,887,,1063-1075 Barclay St,Approved,,,,POINT (-123.12635834 49.28319893),West End,18,Design,Standard 1BR
8963,899,,349 E 6th Ave,Completed,2024,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=899,POINT (-123.09724906 49.2656987),Mount Pleasant,19,Design,Standard 1BR
8967,924,,2108-2408 Cassiar St,Approved,,,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=924,POINT (-123.03033314 49.26414502),Hastings-Sunrise,746,Design,Standard 1BR
8969,929,,998 E 19th Ave,Approved,,,,POINT (-123.08438908 49.25336844),Kensington-Cedar Cottage,37,Design,Standard 1BR
8970,934,,1710-1730 E Pender St,Approved,,Lu'Ma Native Housing Society,,POINT (-123.07002235 49.28001135),Grandview-Woodland,120,Design,Standard 1BR
8974,6,,2137 W 1st Ave,Completed,1984,Helen's Court Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=6,POINT (-123.1536261 49.27104183),Kitsilano,22,Design,Standard 2BR
8975,7,,1349 E 2nd Ave,Completed,1987,Laura Jamieson Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=7,POINT (-123.07614157 49.26900321),Grandview-Woodland,23,Design,Standard 2BR
8976,8,,1507 E 2nd Ave,Completed,1984,Westerdale Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=8,POINT (-123.07304966 49.26896961),Grandview-Woodland,6,Design,Standard 2BR
8977,18,,1560 E 4th Ave,Completed,1989,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=18,POINT (-123.0718679 49.2666326),Grandview-Woodland,11,Design,Standard 2BR
