,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
0,6,,2137 W 1st Ave,Completed,1984,Helen's Court Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=6,POINT (-123.1536261 49.27104183),Kitsilano,35,Clientele,Families
1,7,,1349 E 2nd Ave,Completed,1987,Laura Jamieson Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=7,POINT (-123.07614157 49.26900321),Grandview-Woodland,42,Clientele,Families
2,8,,1507 E 2nd Ave,Completed,1984,Westerdale Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=8,POINT (-123.07304966 49.26896961),Grandview-Woodland,10,Clientele,Families
3,18,,1560 E 4th Ave,Completed,1989,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=18,POINT (-123.0718679 49.2666326),Grandview-Woodland,20,Clientele,Families
4,20,,675 E 5th Ave,Completed,1985,Northern Way Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=20,POINT (-123.09065341 49.26639799),Mount Pleasant,44,Clientele,Families
5,25,,1040 E 7th Ave,Completed,1974,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=25,POINT (-123.08252037 49.26400829),Mount Pleasant,11,Clientele,Families
6,33,,2875 E 6th Ave,Completed,1990,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=33,POINT (-123.04515669 49.26502759),Hastings-Sunrise,23,Clientele,Families
7,34,,756 E 6th Ave,Completed,1986,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=34,POINT (-123.08812236 49.26495984),Mount Pleasant,13,Clientele,Families
8,39,,101 E 7th Ave,Completed,1982,Quebec Manor Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=39,POINT (-123.10244623 49.26487539),Mount Pleasant,10,Clientele,Families
9,42,,860 E 7th Ave,Completed,1987,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=42,POINT (-123.08569338 49.26403654),Mount Pleasant,12,Clientele,Families
10,47,,2425 Brunswick St,Completed,1988,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=47,POINT (-123.09754471 49.26336944),Mount Pleasant,21,Clientele,Families
11,51,,1230 E 8th Ave,Completed,1987,China Creek Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=51,POINT (-123.07922139 49.26307424),Mount Pleasant,27,Clientele,Families
12,53,,2829 E 8th Ave,Completed,1983,Access Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=53,POINT (-123.04651609 49.26321325),Hastings-Sunrise,30,Clientele,Families
13,59,,506 E 10th Ave,Completed,1982,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=59,POINT (-123.09281748 49.26128682),Mount Pleasant,2,Clientele,Families
16,76,,420 W 16th Ave,Completed,1976,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=76,POINT (-123.11276834 49.25663841),Riley Park,24,Clientele,Families
17,81,,2270 E 25th Ave,Completed,1971,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=81,POINT (-123.05903401 49.24741422),Kensington-Cedar Cottage,48,Clientele,Families
18,86,,3545 E 43rd Ave,Completed,1985,HW Flesher Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=86,POINT (-123.0282517 49.23143252),Killarney,75,Clientele,Families
20,94,,1530 Adanac St,Completed,1987,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=94,POINT (-123.0734715 49.27733673),Grandview-Woodland,21,Clientele,Families
22,104,,118 Alexander St,Completed,1987,Four Sisters Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=104,POINT (-123.10153493 49.28370049),Downtown,16,Clientele,Families
27,115,,3502-98 Bluejay Cr,Completed,1981,Matheson Heights Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=115,POINT (-123.02641787 49.21275024),Killarney,106,Clientele,Families
28,117,,2450 Penticton St,Completed,1985,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=117,POINT (-123.05180854 49.26231048),Hastings-Sunrise,12,Clientele,Families
29,120,,2525 Waterloo St,Completed,1984,Broadview Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=120,POINT (-123.18021442 49.2640035),Kitsilano,10,Clientele,Families
31,129,,512 Campbell Ave,Completed,1967,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=129,POINT (-123.08401895 49.27900972),Strathcona,241,Clientele,Families
32,132,,3400 E 5th Av,Completed,1962,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=132,POINT (-123.03033314 49.26414502),Hastings-Sunrise,69,Clientele,Families
34,134,,1515 Charles St,Completed,1986,More Than a Roof Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=134,POINT (-123.07301669 49.27331573),Grandview-Woodland,22,Clientele,Families
35,140,,3502-3672 Cordiale Dr,Completed,1982,Le Coeur Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=140,POINT (-123.02601179 49.20962267),Killarney,63,Clientele,Families
36,145,,430 E Cordova St,Completed,1988,Mavis McMullen Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=145,POINT (-123.09447792 49.28192592),Strathcona,10,Clientele,Families
37,154,,3564 Dease Lane,Completed,1972,De Cosmos Village Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=154,POINT (-123.02554929 49.2228022),Killarney,110,Clientele,Families
38,155,,8430 Aqua Dr,Completed,1985,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=155,POINT (-123.06367471 49.20768611),Victoria-Fraserview,27,Clientele,Families
40,168,,837 E Georgia St,Completed,1986,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=168,POINT (-123.08637889 49.27857263),Strathcona,2,Clientele,Families
41,172,,1877 E Georgia St,Completed,1988,Entre Nous Femmes Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=172,POINT (-123.06617155 49.27866977),Grandview-Woodland,18,Clientele,Families
42,174,,2535 Grandview Hwy N,Completed,1977,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=174,POINT (-123.05390317 49.25849645),Renfrew-Collingwood,20,Clientele,Families
43,181,,3510 SE Marine Dr,Completed,1992,Entre Nous Femmes Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=181,POINT (-123.02876493 49.20726071),Killarney,41,Clientele,Families
44,186,,1416 Haro St,Completed,1985,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=186,POINT (-123.13182158 49.28736751),West End,18,Clientele,Families
46,190,,501 E Hastings St,Completed,1984,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=190,POINT (-123.09283543 49.28150447),Strathcona,17,Clientele,Families
47,192,,540 E Hastings St,Completed,1987,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=192,POINT (-123.09305566 49.28089739),Strathcona,17,Clientele,Families
49,196,,3196 Heather St,Completed,1976,"Co-op Demers ""La Bruyere"" Co-op Hsg Assoc.",https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=196,POINT (-123.11963072 49.25726946),Fairview,7,Clientele,Families
52,202,,350 Keefer St,Completed,1970,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=202,POINT (-123.09530078 49.27849526),Strathcona,139,Clientele,Families
53,219,,1415 Lamey's Mill Rd,Completed,1981,Twin Rainbows Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=219,POINT (-123.13586996 49.26788454),Fairview,25,Clientele,Families
54,229,,531 SW Marine Dr,Completed,1985,Vera Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=229,POINT (-123.11952291 49.20965032),Marpole,31,Clientele,Families
55,230,,590 SW Marine Dr,Completed,1982,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=230,POINT (-123.11847601 49.20912755),Marpole,30,Clientele,Families
56,231,,1592 SW Marine Dr,Completed,1986,Wits' End Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=231,POINT (-123.14375724 49.20824039),Marpole,43,Clientele,Families
57,235,,3381 Marquette Cr,Completed,1982,Cedar Mill Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=235,POINT (-123.03115912 49.21293165),Killarney,43,Clientele,Families
58,244,,5701 Nanaimo St,Completed,1959,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=244,POINT (-123.05939466 49.23115573),Victoria-Fraserview,117,Clientele,Families
59,245,,1416 Napier St,Completed,1981,Watershed Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=245,POINT (-123.07496109 49.27451785),Grandview-Woodland,11,Clientele,Families
60,254,,1019 Pacific St,Completed,1985,Pacific Heights Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=254,POINT (-123.13276735 49.2776072),West End,79,Clientele,Families
62,262,,1710 E Pender St,Completed,1986,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=262,POINT (-123.07002235 49.28001135),Grandview-Woodland,16,Clientele,Families
64,270,,1515 W 1st Ave,Completed,1986,Harbour Cove Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=270,POINT (-123.14128903 49.27205665),Fairview,15,Clientele,Families
65,271,,3890 Point Grey Rd,Completed,1979,Dunbar Village Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=271,POINT (-123.1908124 49.27094926),West Point Grey,11,Clientele,Families
67,280,,321 Princess Ave,Completed,1991,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=280,POINT (-123.09196577 49.28187669),Strathcona,61,Clientele,Families
69,282,,1680 E 6th Ave,Completed,1993,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=282,POINT (-123.07061566 49.26471157),Grandview-Woodland,16,Clientele,Families
70,286,,4830 Rupert St,Completed,1971,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=286,POINT (-123.03639148 49.24060975),Renfrew-Collingwood,42,Clientele,Families
71,288,,5748 Rupert St,Completed,1991,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=288,POINT (-123.04269371 49.23202084),Killarney,22,Clientele,Families
72,289,,825 Salsbury Dr,Completed,1986,Grace MacInnis Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=289,POINT (-123.06888997 49.27729408),Grandview-Woodland,27,Clientele,Families
74,294,,1256 Shorepine  Walk,Completed,1980,Alder Bay Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=294,POINT (-123.1340075 49.26771357),Fairview,87,Clientele,Families
75,295,,3335-45 Sophia St,Completed,1983,Robson Park Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=295,POINT (-123.09872617 49.25501914),Riley Park,4,Clientele,Families
76,297,,2832 St George St,Completed,1982,Robson Park Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=297,POINT (-123.09273013 49.25909002),Mount Pleasant,6,Clientele,Families
77,298,,7401 Talon Square,Completed,1978,La Petite Maison Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=298,POINT (-123.02619985 49.21703561),Killarney,66,Clientele,Families
78,300,,1091 Sitka Square,Completed,1977,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=300,POINT (-123.13016336 49.26687114),Fairview,74,Clientele,Families
79,303,,3641 Tuaq Dr,Completed,1982,Alexander Laidlaw Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=303,POINT (-123.02555612 49.20868184),Killarney,77,Clientele,Families
80,304,,3450 SE Marine Dr,Completed,1992,Sunbridge Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=304,POINT (-123.03018455 49.20738444),Killarney,38,Clientele,Families
81,306,,251 Union St,Completed,1993,S.U.C.C.E.S.S.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=306,POINT (-123.0979086 49.27788193),Strathcona,26,Clientele,Families
82,308,,2033 Ferndale St,Completed,1981,Vancouver East Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=308,POINT (-123.06279932 49.27992564),Grandview-Woodland,4,Clientele,Families
83,309,,3548 Victoria Dr,Completed,1991,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=309,POINT (-123.0656301 49.25319001),Kensington-Cedar Cottage,28,Clientele,Families
84,312,,1707 Wallace St,Completed,1978,Penta Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=312,POINT (-123.18996814 49.27107928),West Point Grey,18,Clientele,Families
86,320,,1602 E 41st Ave,Completed,1991,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=320,POINT (-123.07256746 49.23238482),Victoria-Fraserview,8,Clientele,Families
87,322,,2390 Grandview Hwy S.,Completed,1994,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=322,POINT (-123.05716498 49.2575755),Kensington-Cedar Cottage,31,Clientele,Families
88,325,,1774 E Kent Ave S,Completed,1995,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=325,POINT (-123.06946548 49.20783398),Victoria-Fraserview,42,Clientele,Families
89,328,,5003 Boundary Rd,Completed,1996,Anita Lewis Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=328,POINT (-123.02403574 49.23928138),Renfrew-Collingwood,21,Clientele,Families
90,329,,1810 E Georgia,Completed,1995,Mavis McMullen Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=329,POINT (-123.06779536 49.27818046),Grandview-Woodland,26,Clientele,Families
95,340,,32 W Pender St,Completed,1998,CBA Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=340,POINT (-123.10540501 49.28030099),Downtown,17,Clientele,Families
98,349,,1010 Pacific Blvd,Completed,1999,Red Door Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=349,POINT (-123.1155317 49.27357694),Downtown,84,Clientele,Families
106,377,,2320 Franklin St,Completed,2001,Kiwassa Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=377,POINT (-123.05727353 49.2818226),Grandview-Woodland,28,Clientele,Families
107,382,,65 W Cordova St,Completed,2002,Lore Krill Co-operative Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=382,POINT (-123.10598488 49.28306444),Downtown,10,Clientele,Families
108,386,,239 E Georgia St,Completed,2002,Lore Krill Co-operative Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=386,POINT (-123.09841302 49.27881639),Strathcona,42,Clientele,Families
113,403,,1109 Victoria Dr,Completed,1980,Vancouver East Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=403,POINT (-123.06589423 49.27456138),Grandview-Woodland,5,Clientele,Families
114,404,,1803 Kitchener St,Completed,1981,Vancouver East Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=404,POINT (-123.06744889 49.27233281),Grandview-Woodland,2,Clientele,Families
115,408,,1030 Keefer St,Completed,1986,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=408,POINT (-123.08169313 49.27888925),Strathcona,2,Clientele,Families
116,410,,1153 E Pender St,Completed,1986,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=410,POINT (-123.08006139 49.28028632),Strathcona,2,Clientele,Families
117,412,,330 Union St,Completed,1986,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=412,POINT (-123.09618694 49.27734832),Strathcona,2,Clientele,Families
118,416,,1120 Comox St,Completed,2001,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=416,POINT (-123.12990117 49.28194798),West End,1,Clientele,Families
119,423,,1139 Pendrell St,Completed,2002,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=423,POINT (-123.13087501 49.28194677),West End,1,Clientele,Families
122,438,,1107 Thurlow St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=438,POINT (-123.1299919 49.28143782),West End,4,Clientele,Families
123,442,,133 Powell St,Completed,1988,Four Sisters Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=442,POINT (-123.10094244 49.28342665),Downtown,43,Clientele,Families
125,461,,1465 Lamey's Mill Rd,Completed,1981,Twin Rainbows Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=461,POINT (-123.13673059 49.26848936),Fairview,25,Clientele,Families
126,464,,400 E Pender St,Completed,1982,Mau Dan Gardens Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=464,POINT (-123.09467412 49.27999087),Strathcona,34,Clientele,Families
127,472,,3390 School Ave,Completed,1984,Chilean Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=472,POINT (-123.03304017 49.23080241),Killarney,33,Clientele,Families
130,525,,120 W Cordova St,Completed,2010,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=525,POINT (-123.10776216 49.28274231),Downtown,75,Clientele,Families
131,534,,2101 Southside Dr,Completed,1985,Affordable Housing Societies,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=534,POINT (-123.06383102 49.20857785),Victoria-Fraserview,28,Clientele,Families
132,542,,2203 Skenna St,Completed,1962,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=542,POINT (-123.02907422 49.26414271),Hastings-Sunrise,94,Clientele,Families
145,691,,220 Princess Av,Completed,2015,Raincity Housing and Support Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=691,POINT (-123.09089702 49.2827536),Strathcona,24,Clientele,Families
156,771,,730 E Hastings St,Completed,2017,YWCA Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=771,POINT (-123.0888949 49.28082218),Strathcona,21,Clientele,Families
157,772,,1105 Seymour St,Completed,2017,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=772,POINT (-123.12412411 49.27759099),Downtown,19,Clientele,Families
158,773,,3338 Sawmill Crescent,Completed,2025,M'akola Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=773,POINT (-123.03388168 49.20633158),Killarney,123,Clientele,Families
160,781,,2922 E Kent Ave S,Completed,2019,Community Land Trust Foundation of BC,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=781,POINT (-123.04688164 49.20585236),Killarney,90,Clientele,Families
161,783,,3090 E 54th Ave,Completed,2019,YWCA Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=783,POINT (-123.04175081 49.21988385),Killarney,31,Clientele,Families
162,784,,4105 Artbutus St,Completed,2021,YWCA Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=784,POINT (-123.15398114 49.24854039),Arbutus Ridge,38,Clientele,Families
163,785,,706 W 13th Ave,Under Construction,,Metro Vancouver Housing Corporation,,,Unknown,68,Clientele,Families
164,787,,1171 Jervis St,Completed,2018,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=787,POINT (-123.13510209 49.2831831),West End,13,Clientele,Families
165,790,,420 Hawks Ave,Approved,,,,POINT (-123.08693581 49.28070574),Strathcona,14,Clientele,Families
167,795,,5155 Main St,Completed,2025,More Than A Roof Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=795,POINT (-123.1020273 49.23848276),Riley Park,62,Clientele,Families
168,797,,6465 Vivian St,Completed,2020,Fair Haven Homes Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=797,POINT (-123.05069803 49.2253565),Victoria-Fraserview,25,Clientele,Families
169,799,,1395 Davie St,Completed,2021,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=799,POINT (-123.13567833 49.28367795),West End,34,Clientele,Families
170,801,,808 Nicola St,Completed,2024,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=801,POINT (-123.13082054 49.28809834),West End,42,Clientele,Families
172,808,,3245 Pierview Crescent,Completed,2021,Kinship Housing Co-operative,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=808,POINT (-123.03866101 49.20724891),Killarney,31,Clientele,Families
173,809,,3183 Pierview Crescent,Completed,2020,Kinship Housing Co-operative,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=809,POINT (-123.03975498 49.20767029),Killarney,69,Clientele,Families
174,810,,2200 - 2300 W 45th Ave,Approved,,Fair Haven Homes Society,,POINT (-123.15944769 49.23115707),Kerrisdale,6,Clientele,Families
176,829,,603 W 59th Ave,Completed,2022,S.U.C.C.E.S.S.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=829,POINT (-123.11763069 49.21748457),Marpole,69,Clientele,Families
177,830,,947 E Hastings St,Completed,2018,Lookout Housing and Health Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=830,POINT (-123.08403266 49.28133997),Strathcona,17,Clientele,Families
178,832,,1636 Clark Dr,Under Construction,,S.U.C.C.E.S.S.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=832,POINT (-123.07634909 49.26993257),Grandview-Woodland,39,Clientele,Families
179,833,,1040-1080 Barclay St,Approved,,,,POINT (-123.1268872 49.28278154),West End,47,Clientele,Families
184,863,,616 E Cordova St,Completed,2022,Union Gospel Mission,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=863,POINT (-123.09098604 49.2818717),Strathcona,24,Clientele,Families
185,864,,750 - 772 Pacific Blvd,Approved,,,,POINT (-123.10926942 49.27433899),Downtown,90,Clientele,Families
189,880,,733 W 14th Ave,Completed,2020,Metro Vancouver Housing Corporation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=880,POINT (-123.12117113 49.25887258),Fairview,36,Clientele,Families
190,886,,8460 Ash St & 8495 Cambie St,Under Construction,,,,POINT (-123.11850904 49.20851404),Marpole,75,Clientele,Families
191,888,,150 E 36th Ave,Under Construction,,,,,Unknown,36,Clientele,Families
192,893,,480 Broughton St,Under Construction,,,,POINT (-123.12518254 49.29006102),Downtown,35,Clientele,Families
193,895,,8725 French St,Completed,2024,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=895,POINT (-123.13964152 49.20669703),Marpole,24,Clientele,Families
205,932,,95 SW Marine Dr,Completed,2022,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=932,POINT (-123.10844101 49.21273011),Marpole,25,Clientele,Families
206,943,,1656 Adanac St,Under Construction,,Entre Nous Femmes Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=943,POINT (-123.0715201 49.27732861),Grandview-Woodland,49,Clientele,Families
207,949,,528 Powell St,Under Construction,,Lookout Housing and Health Society,,POINT (-123.09249245 49.2828015),Strathcona,19,Clientele,Families
212,969,,8427-8482 Cambie St,Proposed,,,,POINT (-123.11770046 49.20908476),Marpole,28,Clientele,Families
214,985,,8820 Cartier St,Completed,2024,Lookout Housing and Health Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=985,POINT (-123.13735164 49.20557857),Marpole,6,Clientele,Families
220,2,,1590 W 1st Ave,Completed,1983,Marina Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=2,POINT (-123.14070438 49.2708485),Fairview,51,Clientele,Families
221,3,,1675 Cypress St,Completed,1986,Inti Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=3,POINT (-123.14820598 49.27095637),Kitsilano,14,Clientele,Families
222,5,,1714 Maple St,Completed,1977,Sam Greer Place Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=5,POINT (-123.14995826 49.27046454),Kitsilano,7,Clientele,Families
224,11,,1937 W 2nd Ave,Completed,1979,Community Alternatives Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=11,POINT (-123.14884018 49.27007463),Kitsilano,9,Clientele,Families
